Main_Page	"Main Page"@sk .
Hlavná_stránka	"Hlavná stránka"@sk .
Literatúra	"Literatúra"@sk .
Matematika	"Matematika"@sk .
Fyzika	"Fyzika"@sk .
Isaac_Newton	"Isaac Newton"@sk .
Václav_Havel	"Václav Havel"@sk .
Zoznam_štátov	"Zoznam štátov"@sk .
Hudba	"Hudba"@sk .
RTFM	"RTFM"@sk .
Science_fiction	"Science fiction"@sk .
Taekkyon	"Taekkyon"@sk .
Blog	"Blog"@sk .
Francúzsko	"Francúzsko"@sk .
História	"História"@sk .
Astronómia	"Astronómia"@sk .
Weblog	"Weblog"@sk .
Tantrizmus	"Tantrizmus"@sk .
Turingov_test	"Turingov test"@sk .
Trnava	"Trnava"@sk .
Padmasambhava	"Padmasambhava"@sk .
Tibetská_kniha_mŕtvych	"Tibetská kniha mŕtvych"@sk .
Tibet_(historické_územie)	"Tibet (historické územie)"@sk .
Bönizmus	"Bönizmus"@sk .
Internet	"Internet"@sk .
Československá_socialistická_republika	"Československá socialistická republika"@sk .
Alan_Mathison_Turing	"Alan Mathison Turing"@sk .
Enzo_Paci	"Enzo Paci"@sk .
Fenomenológia	"Fenomenológia"@sk .
Maďarsko	"Maďarsko"@sk .
Willard_Van_Orman_Quine	"Willard Van Orman Quine"@sk .
Vadžrajána	"Vadžrajána"@sk .
Egypt	"Egypt"@sk .
George_Boole	"George Boole"@sk .
Esperanto	"Esperanto"@sk .
